Age,Gender,Budget,Occupants,Duration,Preferred_Floor,Preferred_View
61,0,18787,1,1,1,Sunset
51,1,24191,1,12,1,Sunrise
27,0,10728,1,1,2,No sunlight
53,0,11365,1,6,1,No sunlight
31,0,14492,2,12,1,Sunset
48,1,10698,2,12,1,No sunlight
32,0,17186,1,1,2,Sunset
25,0,24512,1,6,2,Sunset
31,1,23923,1,1,2,Sunrise
40,0,10395,2,12,1,No sunlight
57,1,24780,2,1,1,Sunrise
38,1,17400,2,1,1,Sunrise
33,0,18082,2,6,1,Sunset
62,1,14171,2,6,1,Sunrise
35,0,14360,2,12,1,Sunset
64,1,12502,2,1,1,No sunlight
41,1,20011,2,1,1,Sunrise
43,0,10717,2,1,1,No sunlight
42,1,12782,1,12,2,No sunlight
62,1,14946,1,12,1,Sunrise
58,1,21769,1,6,1,Sunrise
46,1,15486,1,6,1,Sunrise
32,1,18335,2,6,1,Sunrise
62,0,14980,2,1,1,Sunset
18,1,21332,1,1,2,Sunrise
42,0,17266,2,6,1,Sunset
24,1,14491,1,1,2,Sunrise
26,0,17192,2,6,1,Sunset
41,0,21130,1,12,2,Sunset
18,1,15588,2,6,1,Sunrise
61,1,17651,2,12,1,Sunrise
25,1,13636,1,1,2,Sunrise
41,0,21414,2,6,1,Sunset
28,1,11167,1,1,2,No sunlight
34,0,20808,1,12,2,Sunset
25,0,11062,1,12,2,No sunlight
52,0,12156,1,12,1,No sunlight
52,1,17860,2,1,1,Sunrise
50,1,15161,2,1,1,Sunrise
22,0,15305,2,1,1,Sunset
59,0,21174,1,1,1,Sunset
56,1,16541,2,12,1,Sunrise
58,0,21486,1,12,1,Sunset
45,1,14729,2,6,1,Sunrise
24,0,19348,2,6,1,Sunset
26,1,17330,2,1,1,Sunrise
25,0,15334,1,12,2,Sunset
29,1,18924,2,12,1,Sunrise
51,0,14330,2,12,1,Sunset
50,1,18010,1,6,1,Sunrise
40,1,16801,2,6,1,Sunrise
41,0,14846,1,12,2,Sunset
54,0,16731,2,12,1,Sunset
52,1,17241,1,12,1,Sunrise
61,0,10953,1,6,1,No sunlight
57,1,12539,2,12,1,No sunlight
39,0,17056,1,12,2,Sunset
44,1,21516,1,1,2,Sunrise
52,1,21493,1,1,1,Sunrise
18,1,11542,1,6,2,No sunlight
52,1,15293,1,12,1,Sunrise
54,1,23964,1,12,1,Sunrise
64,1,11191,2,1,1,No sunlight
31,0,16313,1,6,2,Sunset
20,0,23704,1,1,2,Sunset
18,0,21185,2,1,1,Sunset
22,1,16938,2,1,1,Sunrise
43,1,12681,2,1,1,No sunlight
31,1,19409,2,12,1,Sunrise
56,1,11540,2,12,1,No sunlight
44,0,16172,2,1,1,Sunset
26,0,21428,2,6,1,Sunset
32,1,15541,1,6,2,Sunrise
32,0,20578,1,6,2,Sunset
43,0,21911,2,6,1,Sunset
59,1,23807,1,1,1,Sunrise
30,0,19580,1,12,2,Sunset
49,1,20048,1,6,1,Sunrise
56,0,11365,2,1,1,No sunlight
49,1,18691,2,6,1,Sunrise
21,1,19872,1,6,2,Sunrise
47,1,18702,2,1,1,Sunrise
54,1,17494,1,12,1,Sunrise
40,0,14312,1,12,2,Sunset
56,1,11324,1,1,1,No sunlight
62,1,19347,1,12,1,Sunrise
32,1,20019,2,1,1,Sunrise
60,0,13141,2,1,1,Sunset
46,1,17419,2,1,1,Sunrise
53,0,13486,1,12,1,Sunset
30,1,11810,2,1,1,No sunlight
49,0,16588,1,6,1,Sunset
24,0,12923,2,12,1,No sunlight
39,1,15301,1,12,2,Sunrise
45,0,20406,1,12,2,Sunset
19,1,14186,1,12,2,Sunrise
59,1,18905,2,6,1,Sunrise
62,1,15977,2,12,1,Sunrise
23,0,21794,2,12,1,Sunset
45,0,22326,2,1,1,Sunset
45,1,21714,1,12,2,Sunrise
61,1,14268,2,6,1,Sunrise
61,0,14748,2,6,1,Sunset
37,1,14849,1,6,2,Sunrise
47,1,19435,1,6,1,Sunrise
28,1,13709,1,12,2,Sunrise
45,0,19273,2,12,1,Sunset
42,0,23971,1,6,2,Sunset
56,0,16619,1,6,1,Sunset
50,1,18647,1,12,1,Sunrise
18,1,23116,2,6,1,Sunrise
44,1,19086,1,1,2,Sunrise
30,0,19576,2,6,1,Sunset
58,1,20150,2,6,1,Sunrise
20,1,13072,1,1,2,Sunrise
56,1,16530,1,1,1,Sunrise
23,1,20188,2,12,1,Sunrise
25,0,24683,1,12,2,Sunset
44,0,22477,1,1,2,Sunset
26,1,10504,2,1,1,No sunlight
54,0,11214,2,12,1,No sunlight
50,0,11531,1,6,1,No sunlight
59,1,21632,2,1,1,Sunrise
61,1,17576,1,12,1,Sunrise
41,0,10823,1,6,2,No sunlight
32,1,10928,1,1,2,No sunlight
49,0,15029,2,6,1,Sunset
49,1,23428,1,12,1,Sunrise
41,0,10133,1,1,2,No sunlight
58,1,12105,1,6,1,No sunlight
29,0,13627,2,1,1,Sunset
56,0,22972,2,6,1,Sunset
19,0,16316,2,12,1,Sunset
20,1,11852,2,12,1,No sunlight
54,0,14910,2,1,1,Sunset
34,0,23460,1,6,2,Sunset
19,1,14175,2,1,1,Sunrise
19,1,21125,2,1,1,Sunrise
45,0,21476,2,6,1,Sunset
40,0,22490,1,6,2,Sunset
54,1,21003,2,6,1,Sunrise
49,1,15348,2,12,1,Sunrise
50,1,23987,1,1,1,Sunrise
18,1,19442,2,1,1,Sunrise
36,1,23970,1,12,2,Sunrise
19,0,23843,1,6,2,Sunset
61,1,21704,1,12,1,Sunrise
43,0,16190,1,12,2,Sunset
49,0,11256,1,12,1,No sunlight
23,0,13376,2,1,1,Sunset
49,1,15645,1,12,1,Sunrise
21,0,23454,1,1,2,Sunset
28,0,13486,2,1,1,Sunset
34,1,13584,1,1,2,Sunrise
55,0,19588,2,6,1,Sunset
41,0,21829,2,1,1,Sunset
22,1,18053,2,1,1,Sunrise
51,0,13330,1,6,1,Sunset
23,0,12703,1,1,2,No sunlight
39,0,18662,1,12,2,Sunset
28,1,18120,2,12,1,Sunrise
33,1,17114,1,1,2,Sunrise
50,1,23323,1,6,1,Sunrise
26,0,11353,1,12,2,No sunlight
23,0,20975,2,6,1,Sunset
33,1,21023,2,6,1,Sunrise
46,0,15063,1,12,1,Sunset
20,0,18549,1,6,2,Sunset
37,1,21211,1,12,2,Sunrise
53,1,17575,1,6,1,Sunrise
36,0,10667,2,12,1,No sunlight
43,0,14468,2,1,1,Sunset
20,0,23319,2,12,1,Sunset
36,1,19337,2,12,1,Sunrise
37,1,23659,1,12,2,Sunrise
49,1,16819,1,12,1,Sunrise
24,1,22377,1,6,2,Sunrise
58,0,13719,2,1,1,Sunset
50,1,12745,1,12,1,No sunlight
57,1,17483,2,6,1,Sunrise
56,1,10539,2,1,1,No sunlight
35,1,20971,1,1,2,Sunrise
57,1,14964,1,1,1,Sunrise
18,0,22328,1,1,2,Sunset
28,0,14835,2,12,1,Sunset
45,1,13775,1,12,2,Sunrise
42,0,16042,2,6,1,Sunset
40,1,24837,1,6,2,Sunrise
48,1,17102,2,6,1,Sunrise
47,0,17312,2,1,1,Sunset
59,0,15320,1,1,1,Sunset
52,1,23216,2,12,1,Sunrise
24,1,16132,2,1,1,Sunrise
33,1,17891,1,1,2,Sunrise
43,0,20700,2,1,1,Sunset
19,1,12779,1,6,2,No sunlight
18,1,10924,2,6,1,No sunlight
29,1,21148,1,12,2,Sunrise
22,0,11581,1,1,2,No sunlight
54,1,17714,2,1,1,Sunrise
49,1,13324,2,12,1,Sunrise
26,0,22677,2,1,1,Sunset
58,1,15713,2,1,1,Sunrise
52,1,17026,2,6,1,Sunrise
36,0,10255,1,12,2,No sunlight
33,1,14804,2,12,1,Sunrise
20,0,11838,1,12,2,No sunlight
37,0,20136,1,12,2,Sunset
41,1,24785,2,6,1,Sunrise
50,1,10009,1,6,1,No sunlight
41,1,12871,1,1,2,No sunlight
28,1,18989,1,1,2,Sunrise
25,0,17409,1,1,2,Sunset
53,1,17418,2,1,1,Sunrise
55,0,23164,1,6,1,Sunset
57,1,15124,2,12,1,Sunrise
37,1,11015,2,6,1,No sunlight
52,1,20016,1,1,1,Sunrise
42,0,22661,2,6,1,Sunset
52,1,21328,2,12,1,Sunrise
42,1,12193,2,12,1,No sunlight
46,1,18415,1,6,1,Sunrise
35,1,23550,2,6,1,Sunrise
63,0,24512,2,6,1,Sunset
35,1,24090,2,1,1,Sunrise
19,0,23140,1,6,2,Sunset
52,0,17449,2,6,1,Sunset
33,0,14158,1,6,2,Sunset
58,0,23528,1,12,1,Sunset
53,0,13925,1,12,1,Sunset
50,0,16970,1,1,1,Sunset
