Age,Gender,Budget,Occupants,Duration,Occupation,Personality,WFH,Vehicle,Luggage,Preferred_Floor,Preferred_View
43,0,15401,2,6,0,1,0,1,1,1,Sunrise
42,0,11761,1,12,1,0,0,1,1,1,No sunlight
62,0,21706,2,6,2,0,1,1,1,1,Sunset
58,1,20167,2,6,0,1,1,0,0,2,Sunset
46,1,20554,1,6,2,1,1,1,0,1,Sunset
32,0,10876,1,12,2,1,1,0,0,2,No sunlight
62,0,24277,1,1,1,0,1,0,1,1,Sunset
18,0,13812,1,12,1,0,1,0,0,2,Sunset
42,1,21640,2,12,1,0,1,1,0,1,Sunset
24,0,19504,2,1,1,1,1,0,0,2,Sunset
26,0,11460,1,12,0,0,1,1,0,1,No sunlight
41,1,20901,2,1,0,0,1,1,0,1,Sunset
18,1,20516,2,12,1,1,0,0,1,1,Sunrise
61,0,11733,2,1,0,0,1,0,0,1,No sunlight
25,1,11605,2,6,1,0,0,1,1,2,No sunlight
41,1,15622,1,12,2,1,0,0,1,1,Sunrise
28,0,16767,1,12,2,0,0,1,1,1,Sunset
34,1,20755,2,12,2,1,0,0,1,1,Sunrise
25,0,21613,1,12,1,1,1,1,1,1,Sunset
52,1,16986,1,6,2,1,0,1,0,1,Sunrise
52,0,13517,1,12,0,1,1,1,0,1,Sunset
50,0,20589,2,6,2,1,1,1,1,2,Sunset
22,0,23918,2,6,2,0,0,0,1,1,Sunset
59,1,13735,2,6,2,0,1,0,1,1,Sunset
56,0,21062,1,6,0,1,0,1,0,1,Sunrise
58,1,19352,2,1,1,1,0,1,1,1,Sunrise
45,0,23046,2,1,0,0,1,0,0,2,Sunset
24,0,18434,1,12,1,1,1,0,1,1,Sunset
26,1,12590,2,1,1,1,0,0,0,2,Sunrise
25,0,11063,2,1,2,1,1,0,1,1,No sunlight
29,0,14324,1,12,1,0,1,0,0,2,Sunset
51,1,20787,1,12,0,0,1,0,1,1,Sunset
50,0,19111,1,12,0,1,0,1,0,1,Sunrise
40,0,15342,2,1,1,1,0,0,0,1,Sunrise
41,0,10005,2,1,2,0,1,0,0,2,No sunlight
54,0,17489,2,12,2,0,1,1,0,2,Sunset
52,1,18659,1,6,0,1,1,0,0,1,Sunset
61,1,24043,1,12,2,1,1,0,0,1,Sunset
57,0,22362,2,6,1,0,1,0,0,1,Sunset
39,1,18195,2,6,1,0,0,0,1,1,Sunset
44,0,15966,1,12,0,0,1,0,1,1,Sunset
52,1,18837,1,12,1,1,0,1,1,1,Sunrise
18,0,10117,1,12,0,0,1,0,1,1,No sunlight
52,0,21120,1,1,1,1,0,1,1,1,Sunrise
54,0,23917,2,6,0,0,1,1,0,1,Sunset
64,0,12551,1,1,2,0,0,0,0,1,Sunset
31,0,24309,2,1,1,0,1,1,0,2,Sunset
20,0,23234,2,12,1,0,0,0,0,2,Sunset
18,1,24909,2,1,0,1,0,1,0,1,Sunrise
22,0,15560,1,12,0,1,0,1,1,1,Sunrise
43,1,14289,1,6,1,0,0,0,1,1,Sunset
31,0,10846,1,12,0,1,0,0,1,1,No sunlight
56,1,20954,1,1,1,0,0,0,1,1,Sunset
44,1,23703,2,1,2,0,1,0,0,2,Sunset
26,1,23746,1,12,0,0,0,0,0,2,Sunset
32,0,16316,1,12,1,0,1,1,0,1,Sunset
32,0,23956,2,1,2,1,1,1,1,1,Sunset
43,1,16469,1,6,2,0,1,1,0,2,Sunset
59,0,23721,2,6,1,0,1,1,1,1,Sunset
30,1,19333,2,12,0,1,1,1,0,1,Sunset
49,0,20002,2,6,1,0,0,1,0,1,Sunset
56,1,18915,2,1,2,0,0,1,1,1,Sunset
49,1,10224,2,12,1,0,0,0,0,2,No sunlight
21,0,22819,2,1,0,1,1,0,0,2,Sunset
47,1,14208,2,1,2,0,0,1,1,1,Sunset
54,0,16283,2,6,1,1,0,1,0,2,Sunrise
40,1,22846,1,12,0,0,0,0,1,1,Sunset
56,1,12048,1,12,2,0,0,0,0,1,Sunset
62,0,16233,1,6,0,1,0,0,0,1,Sunrise
32,0,22941,1,1,2,0,1,0,0,2,Sunset
60,0,22607,2,1,1,0,0,1,0,1,Sunset
46,1,19765,1,1,0,1,1,0,0,1,Sunset
53,0,11828,2,1,2,1,1,1,0,1,No sunlight
30,1,11917,1,12,0,1,1,1,0,1,No sunlight
49,1,14234,1,12,0,1,1,1,0,1,Sunset
24,0,16988,1,6,1,1,1,0,1,1,Sunset
39,0,12026,2,6,0,0,0,0,1,1,Sunset
45,1,24594,1,12,2,1,0,1,0,1,Sunrise
19,1,13744,2,12,2,0,0,1,0,1,Sunset
59,0,19093,2,1,2,0,1,1,1,1,Sunset
62,0,22977,1,1,2,0,0,0,0,1,Sunset
23,0,20231,1,6,1,1,0,1,0,1,Sunrise
45,0,10009,1,12,0,1,1,0,1,1,No sunlight
45,0,10260,2,6,1,0,1,1,0,1,No sunlight
61,1,16038,1,12,0,1,1,1,0,1,Sunset
61,1,19865,2,1,0,1,1,1,1,1,Sunset
37,1,12219,2,6,0,1,0,0,0,2,Sunrise
47,1,17041,1,6,1,1,1,0,0,2,Sunset
28,0,12060,1,12,0,0,1,1,1,1,Sunset
45,0,15287,2,1,1,0,0,0,0,2,Sunset
42,0,21905,2,6,2,1,0,1,1,1,Sunrise
56,1,11619,2,1,2,0,1,0,0,1,No sunlight
50,1,18512,1,6,0,1,0,0,0,1,Sunrise
18,0,11342,2,1,1,1,1,0,1,1,No sunlight
44,0,23924,1,12,2,0,1,1,1,1,Sunset
30,1,20568,2,6,1,0,0,0,0,2,Sunset
58,1,12832,2,6,1,0,0,0,1,1,Sunset
20,0,12824,1,1,0,1,1,1,1,2,Sunset
56,0,11994,2,1,2,0,1,1,0,1,No sunlight
23,1,21150,1,6,0,1,1,1,0,1,Sunset
25,0,24231,1,12,0,0,0,1,0,1,Sunset
44,0,20230,2,1,2,0,1,0,1,1,Sunset
26,0,13490,1,1,2,1,1,0,1,1,Sunset
54,1,21869,1,1,1,1,1,0,1,2,Sunset
50,1,19310,2,6,2,1,1,0,1,1,Sunset
59,1,17984,1,6,1,1,1,0,0,1,Sunset
61,1,11604,1,6,1,1,0,1,1,1,No sunlight
41,1,24653,1,6,1,1,1,0,0,2,Sunset
32,1,22219,2,12,2,1,1,0,1,1,Sunset
49,1,10235,1,12,0,1,1,0,0,1,No sunlight
49,0,20161,2,6,1,0,1,1,0,1,Sunset
41,0,22621,2,12,0,1,0,1,0,1,Sunrise
58,0,11908,1,1,0,1,0,0,1,1,No sunlight
29,0,18567,1,1,2,0,0,1,0,1,Sunset
56,0,13530,1,1,0,1,1,1,0,2,Sunset
19,0,15256,2,6,0,0,1,1,1,1,Sunset
20,0,12635,1,1,2,0,0,1,0,1,Sunset
54,1,18162,1,12,1,1,0,1,1,1,Sunrise
34,1,19762,1,6,0,0,0,1,1,1,Sunset
19,0,12560,1,12,2,1,1,1,0,1,Sunset
19,0,15415,1,1,0,0,1,0,0,2,Sunset
45,1,13391,2,1,0,0,0,0,1,1,Sunset
40,0,21157,2,1,1,0,0,1,0,1,Sunset
54,0,21835,1,6,0,1,0,0,1,1,Sunrise
49,1,15951,1,12,2,1,1,0,1,1,Sunset
50,0,15468,1,6,0,0,1,1,1,1,Sunset
18,1,18007,1,6,1,0,1,0,0,2,Sunset
36,0,22042,2,1,1,1,0,1,1,1,Sunrise
19,1,19064,1,6,2,1,0,1,0,1,Sunrise
61,1,19444,2,6,1,0,1,1,0,1,Sunset
43,1,16413,2,1,0,0,0,0,0,2,Sunset
49,0,24139,1,6,1,1,1,0,0,1,Sunset
23,1,16941,2,1,2,1,0,0,1,1,Sunrise
49,0,19506,2,1,1,1,0,0,0,1,Sunrise
21,0,14820,2,1,1,1,0,1,1,1,Sunrise
28,0,24340,2,1,1,1,0,1,1,1,Sunrise
34,0,12898,1,6,2,0,1,0,0,2,Sunset
55,1,17546,1,1,1,1,0,1,1,1,Sunrise
41,1,10077,2,1,1,0,1,1,1,1,No sunlight
22,0,17577,1,6,0,1,1,0,0,2,Sunset
51,0,20813,1,6,2,0,1,1,1,1,Sunset
23,1,14227,1,12,1,1,0,0,1,1,Sunrise
39,0,10600,1,6,2,1,1,1,1,1,No sunlight
28,1,24060,1,6,1,0,1,0,1,1,Sunset
33,0,11065,2,12,1,0,1,1,0,1,No sunlight
50,0,12136,1,6,1,1,0,1,1,1,Sunrise
26,1,20641,1,6,0,1,0,0,1,1,Sunrise
23,0,20535,1,6,0,1,1,0,1,1,Sunset
33,1,20055,1,6,0,1,0,0,1,1,Sunrise
46,0,19510,2,12,2,1,1,0,0,1,Sunset
20,0,22903,2,6,2,0,1,1,1,1,Sunset
37,0,21789,2,6,0,0,0,1,0,1,Sunset
53,1,16943,2,12,2,1,1,0,1,1,Sunset
36,0,21954,1,1,1,0,0,1,0,1,Sunset
43,0,17804,2,12,1,0,0,0,0,2,Sunset
20,0,16565,1,1,1,0,1,0,0,2,Sunset
36,0,15984,1,12,0,1,0,1,0,1,Sunrise
37,1,15142,1,12,2,0,0,1,0,1,Sunset
49,1,14670,1,6,0,1,1,0,1,1,Sunset
24,0,12190,1,1,2,0,1,0,1,1,Sunset
58,1,19184,2,6,1,1,0,0,1,1,Sunrise
50,0,12712,2,1,0,0,0,1,0,1,Sunset
57,0,12192,2,12,2,1,1,1,1,1,Sunset
56,0,11248,2,12,2,1,0,1,0,2,No sunlight
35,1,21246,1,1,1,0,0,1,0,1,Sunset
57,1,22790,2,6,0,1,0,0,1,1,Sunrise
18,1,14033,1,6,0,1,0,0,1,1,Sunrise
28,1,11997,2,6,0,1,0,0,0,1,No sunlight
45,1,23108,1,6,1,1,0,0,0,2,Sunrise
42,1,13687,1,12,0,1,0,0,1,1,Sunrise
40,1,20343,2,12,1,1,1,0,1,1,Sunset
48,1,14018,1,12,1,1,1,1,1,1,Sunset
47,1,21302,1,12,1,1,1,1,1,1,Sunset
59,0,11970,2,12,2,0,1,0,0,1,No sunlight
52,1,18389,1,6,0,0,1,0,1,1,Sunset
24,1,15765,2,6,0,1,0,1,1,2,Sunrise
33,1,20818,2,6,1,1,0,1,1,1,Sunrise
43,1,24726,2,6,1,0,0,1,0,1,Sunset
19,1,11202,1,12,0,0,0,1,0,1,No sunlight
18,1,18135,1,12,1,0,1,0,0,2,Sunset
29,1,24889,1,12,0,1,0,0,0,2,Sunrise
22,1,15567,2,1,2,0,0,0,1,1,Sunset
54,1,17667,1,6,1,1,1,0,0,1,Sunset
49,1,15742,2,6,0,1,0,0,1,2,Sunrise
26,1,15788,2,12,1,0,0,1,1,1,Sunset
58,0,15408,1,6,0,1,1,0,1,1,Sunset
52,0,20227,2,6,0,1,0,1,1,1,Sunrise
36,1,18669,1,12,1,1,0,0,0,1,Sunrise
33,1,19446,1,1,2,1,0,0,0,2,Sunrise
20,0,10922,1,1,0,0,0,0,0,1,No sunlight
37,1,10419,1,1,0,0,0,0,1,1,No sunlight
41,0,12204,1,12,0,1,1,0,1,1,Sunset
50,0,20789,2,6,2,1,1,1,1,1,Sunset
41,0,11120,2,12,2,0,1,1,1,1,No sunlight
28,0,21260,2,12,1,1,1,1,1,1,Sunset
25,0,10950,1,6,2,0,1,0,0,2,No sunlight
53,1,12336,1,1,1,1,1,0,1,1,Sunset
55,0,15373,1,1,1,1,0,1,0,1,Sunrise
57,1,12243,2,12,2,0,1,0,1,1,Sunset
37,1,12645,1,1,1,0,1,0,1,2,Sunset
52,0,20049,2,12,2,0,0,1,0,1,Sunset
42,0,14612,2,12,1,0,0,0,0,2,Sunset
52,1,23946,1,6,2,1,1,1,1,1,Sunset
42,0,11865,1,6,2,0,0,0,1,1,No sunlight
46,0,21104,2,6,1,1,1,1,1,2,Sunset
35,1,23429,1,12,0,0,0,0,1,1,Sunset
63,1,21045,2,6,1,0,1,0,0,1,Sunset
35,0,16028,1,1,2,1,0,1,1,1,Sunrise
19,1,17326,1,1,0,0,0,0,0,2,Sunset
52,0,23102,2,12,1,0,1,0,1,1,Sunset
33,0,16371,1,12,1,0,1,1,0,1,Sunset
58,0,24188,2,6,1,0,1,0,0,1,Sunset
53,1,16359,1,12,0,1,1,1,1,1,Sunset
50,1,17863,2,12,2,1,1,0,0,1,Sunset
21,1,24350,2,1,1,0,0,0,1,1,Sunset
50,1,13228,1,1,1,0,1,0,0,1,Sunset
31,1,13719,2,6,1,0,1,0,1,1,Sunset
38,0,21420,1,12,1,1,0,1,0,1,Sunrise
37,0,24382,1,12,1,1,0,0,1,1,Sunrise
25,0,12371,1,1,2,1,1,1,1,1,Sunset
24,0,12891,2,12,2,1,0,0,0,2,Sunrise
20,1,13756,2,1,1,0,0,0,0,2,Sunset
34,0,14225,1,6,0,0,1,0,0,2,Sunset
50,1,10094,1,1,2,0,0,0,0,2,No sunlight
29,0,12674,2,12,0,1,0,1,1,1,Sunrise
39,1,16898,1,6,2,0,1,1,0,1,Sunset
39,1,20147,1,1,1,1,1,1,1,1,Sunset
63,0,10793,2,1,2,1,0,1,0,1,No sunlight
47,0,20026,1,6,1,0,0,0,1,1,Sunset
55,0,12116,2,6,2,0,1,1,1,1,Sunset
55,0,15779,1,1,1,0,0,1,1,1,Sunset
62,1,22298,2,12,1,1,0,0,1,1,Sunrise
25,0,21517,1,1,1,1,0,0,0,2,Sunrise
44,0,24153,1,6,1,0,1,0,0,2,Sunset
44,1,21111,2,1,0,0,0,0,1,1,Sunset
51,0,20789,1,6,1,1,0,1,0,1,Sunrise
38,0,21397,2,6,0,0,1,1,0,1,Sunset
47,0,22999,1,12,0,1,0,0,1,1,Sunrise
50,0,16166,2,6,1,1,0,0,0,1,Sunrise
45,0,10814,2,6,0,0,1,0,0,2,No sunlight
64,1,10345,2,12,2,0,1,1,0,2,No sunlight
50,0,20541,2,6,1,0,1,1,1,1,Sunset
22,0,18554,1,12,0,0,1,0,0,2,Sunset
36,0,12443,1,12,1,1,0,0,1,1,Sunrise
21,0,20457,2,6,1,1,0,1,0,1,Sunrise
52,0,20380,2,6,1,1,1,0,0,1,Sunset
34,1,17783,2,1,0,0,1,0,0,2,Sunset
61,0,21197,1,12,2,1,0,1,1,1,Sunrise
45,1,21473,1,1,2,0,1,0,1,1,Sunset
47,1,10984,1,6,0,0,0,1,0,1,No sunlight
46,0,17790,1,1,1,0,1,0,1,1,Sunset
63,0,19831,2,12,0,0,0,0,0,1,Sunset
23,0,10827,2,1,0,0,1,1,1,1,No sunlight
52,0,20922,2,12,0,0,1,1,1,1,Sunset
58,1,13531,1,6,1,1,0,0,0,2,Sunrise
54,0,17147,1,6,0,0,1,1,0,1,Sunset
41,0,14451,1,12,1,1,0,0,0,2,Sunrise
46,0,23635,2,6,0,1,0,0,0,1,Sunrise
63,0,21127,2,6,2,0,0,1,1,1,Sunset
48,0,13876,1,6,0,0,0,0,1,1,Sunset
52,0,15959,2,6,0,0,0,0,1,1,Sunset
50,1,10126,1,12,2,1,1,1,0,1,No sunlight
38,1,13177,1,1,1,0,1,1,0,1,Sunset
49,0,21248,2,1,1,1,0,0,1,1,Sunrise
40,0,18795,1,6,0,0,1,1,0,1,Sunset
50,0,21641,2,1,2,0,0,1,1,1,Sunset
20,1,16024,1,1,1,1,1,1,1,1,Sunset
35,0,15109,2,6,0,1,1,1,1,1,Sunset
42,1,14146,2,6,2,0,1,0,1,1,Sunset
59,0,17196,2,1,1,1,1,0,1,1,Sunset
48,0,21725,1,12,1,1,0,0,0,1,Sunrise
20,0,21559,1,6,2,1,0,1,0,1,Sunrise
57,0,13368,2,12,2,1,1,1,0,1,Sunset
63,1,13797,2,1,2,1,1,1,1,1,Sunset
41,1,23718,1,6,2,0,0,1,1,2,Sunset
49,0,11792,1,12,0,0,1,1,1,1,No sunlight
64,0,21053,1,6,2,1,0,1,1,1,Sunrise
39,1,15732,2,1,1,0,0,1,0,1,Sunset
40,1,13476,1,12,1,0,0,0,0,2,Sunset
19,1,13417,1,1,0,1,1,0,1,1,Sunset
44,1,11645,2,1,1,0,0,1,1,1,No sunlight
59,0,24755,1,6,1,1,1,1,1,1,Sunset
19,1,19397,1,12,2,1,0,1,0,1,Sunrise
43,0,13030,1,1,1,0,1,0,0,2,Sunset
34,1,12872,2,1,0,1,1,0,0,2,Sunset
57,1,13072,2,12,2,1,1,1,1,2,Sunset
50,1,11854,2,1,2,1,0,1,1,1,No sunlight
26,1,14021,2,1,0,1,0,0,0,2,Sunrise
60,1,14662,2,12,2,1,1,0,1,1,Sunset
56,0,16514,2,12,2,0,1,0,0,1,Sunset
46,0,15031,2,12,0,0,1,0,1,1,Sunset
59,1,24222,1,12,2,1,0,1,0,1,Sunrise
43,1,12708,1,6,0,1,0,0,1,1,Sunrise
52,0,21694,2,12,0,0,0,0,0,1,Sunset
42,1,17112,1,6,1,1,0,1,0,1,Sunrise
41,1,19524,1,6,1,0,1,0,0,2,Sunset
30,0,18393,2,6,2,1,1,0,0,2,Sunset
24,1,13507,1,1,2,1,0,0,0,2,Sunrise
53,1,16456,1,6,0,1,0,1,0,1,Sunrise
62,0,14212,1,6,2,1,1,0,1,1,Sunset
37,0,23224,1,1,0,1,0,1,1,1,Sunrise
18,0,17970,1,1,0,1,0,1,1,1,Sunrise
25,1,18766,2,1,2,1,0,0,0,2,Sunrise
63,0,24579,2,12,0,0,0,0,0,1,Sunset
33,0,10536,2,1,1,0,0,0,1,1,No sunlight
31,0,11625,1,1,2,0,0,0,0,1,No sunlight
29,0,20314,2,6,1,1,1,1,0,1,Sunset
40,0,17973,1,1,2,1,0,0,0,2,Sunrise
32,0,18577,1,12,0,1,0,0,0,2,Sunrise
45,1,18070,1,1,2,1,1,0,0,2,Sunset
51,1,21473,1,12,1,1,1,1,1,1,Sunset
19,0,18666,2,1,0,1,1,0,1,1,Sunset
49,0,18609,2,1,2,1,0,0,1,1,Sunrise
40,0,16490,1,1,2,0,1,1,1,1,Sunset
39,1,13600,2,1,2,1,0,1,1,1,Sunrise
42,1,16783,1,12,1,0,0,0,0,2,Sunset
39,1,23226,2,12,1,0,0,0,0,2,Sunset
39,1,19146,2,6,2,1,1,0,0,2,Sunset
59,1,14971,1,12,0,1,1,0,0,1,Sunset
23,1,23050,2,1,0,0,1,0,1,1,Sunset
32,1,23490,1,6,1,0,1,1,1,1,Sunset
60,1,11205,2,6,0,1,1,1,1,1,No sunlight
54,1,22951,1,6,1,1,0,0,0,1,Sunrise
50,0,22312,1,1,2,0,0,0,1,1,Sunset
25,0,11990,2,12,1,1,0,1,0,1,No sunlight
61,0,15299,2,1,1,1,0,0,1,1,Sunrise
61,0,22997,1,6,2,1,1,0,1,1,Sunset
22,1,13572,2,1,0,0,1,0,0,2,Sunset
56,1,15975,2,1,1,0,0,0,0,1,Sunset
21,0,23472,1,12,1,0,1,0,1,1,Sunset
23,1,16320,1,12,2,1,1,1,1,1,Sunset
62,0,14380,2,6,0,1,0,0,0,1,Sunrise
49,1,22350,1,1,1,0,0,0,1,1,Sunset
47,0,23290,1,1,2,0,1,0,1,1,Sunset
64,1,14757,1,12,1,0,1,1,0,1,Sunset
52,1,12713,2,1,2,1,0,1,1,1,Sunrise
57,0,20395,2,1,0,0,0,1,0,1,Sunset
33,1,15588,1,1,0,0,0,1,1,1,Sunset
30,0,21312,2,12,0,1,1,0,0,2,Sunset
59,0,10966,1,6,0,1,0,1,1,1,No sunlight
47,0,14944,2,6,1,1,0,0,0,1,Sunrise
36,0,23395,1,1,1,0,1,0,1,1,Sunset
34,1,13432,1,6,0,1,1,1,0,1,Sunset
36,1,10688,2,12,0,1,1,1,1,1,No sunlight
45,1,14243,1,12,0,0,1,1,1,1,Sunset
43,0,13701,2,6,1,1,1,1,1,2,Sunset
54,1,18533,2,6,0,0,0,1,1,1,Sunset
43,0,24811,1,1,0,0,0,0,1,1,Sunset
40,1,15182,1,6,0,1,1,1,1,1,Sunset
26,1,19916,2,1,2,1,1,1,1,1,Sunset
29,1,23671,1,1,0,1,1,1,1,1,Sunset
18,0,16704,1,12,2,1,1,0,1,1,Sunset
18,1,14422,1,12,2,1,1,1,0,1,Sunset
64,1,19984,1,12,0,1,0,0,0,1,Sunrise
51,0,11759,1,12,2,0,0,1,1,1,No sunlight
49,1,21404,2,6,0,0,0,1,0,1,Sunset
42,0,19181,2,12,1,1,0,0,1,2,Sunrise
57,1,20454,1,6,1,0,1,1,1,1,Sunset
62,0,12482,1,12,1,1,0,0,0,1,Sunrise
18,0,18058,1,6,1,0,1,0,1,1,Sunset
33,1,10951,2,1,2,0,1,0,1,1,No sunlight
56,0,18914,1,6,0,0,1,1,0,1,Sunset
22,0,21581,2,6,0,1,0,1,0,1,Sunrise
39,0,12079,2,12,0,0,1,1,1,1,Sunset
46,0,12717,2,6,1,1,0,0,0,1,Sunrise
20,0,20524,1,1,1,0,0,1,0,1,Sunset
29,0,21568,2,1,0,0,1,0,1,1,Sunset
43,1,14524,1,12,1,0,1,1,0,2,Sunset
33,0,19692,2,1,0,0,1,0,0,2,Sunset
54,0,18477,1,6,0,0,0,0,1,1,Sunset
39,1,17311,2,1,0,1,1,0,0,2,Sunset
46,1,21687,1,12,0,1,0,1,0,1,Sunrise
31,1,17186,2,6,0,0,1,0,1,1,Sunset
45,1,12065,1,12,0,0,1,0,1,1,Sunset
22,1,10768,1,6,0,0,0,0,1,1,No sunlight
64,1,24925,1,1,1,0,0,0,0,1,Sunset
47,1,15490,1,12,0,1,0,0,1,1,Sunrise
63,0,21249,2,12,0,0,0,0,1,1,Sunset
22,0,22481,2,6,1,1,0,1,0,1,Sunrise
29,1,16645,1,12,1,0,0,1,1,1,Sunset
33,0,15083,2,6,1,1,1,0,1,1,Sunset
43,0,15232,1,6,0,0,1,1,1,1,Sunset
43,0,20353,1,6,2,0,0,1,1,1,Sunset
38,1,21485,2,6,2,1,1,0,0,2,Sunset
56,1,15797,1,1,1,0,0,0,1,1,Sunset
53,0,19138,1,6,2,0,1,0,1,1,Sunset
50,1,14926,2,12,1,0,1,1,0,1,Sunset
47,0,16016,1,1,0,1,0,0,1,1,Sunrise
54,0,13335,1,12,2,0,0,1,0,1,Sunset
40,0,22342,1,1,0,0,0,0,0,2,Sunset
27,0,18038,1,6,2,1,1,1,0,1,Sunset
22,1,23087,2,1,0,1,0,0,1,2,Sunrise
53,1,14873,2,1,2,1,1,0,0,1,Sunset
51,1,11481,2,12,0,0,0,1,0,1,No sunlight
48,0,20093,1,12,0,0,1,1,0,1,Sunset
27,1,16305,1,6,2,0,1,1,1,1,Sunset
36,0,13451,2,1,0,1,0,1,1,2,Sunrise
49,1,22256,1,1,0,0,1,1,1,1,Sunset
18,0,24422,1,1,0,0,1,1,1,1,Sunset
22,0,10054,1,6,2,1,0,0,1,1,No sunlight
62,0,17643,1,6,2,1,1,1,1,1,Sunset
21,1,20015,2,6,0,1,0,0,1,1,Sunrise
